s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Aj Jazirah,65,SD15,14.589485,33.27362,Al Hasahisa,SD15034,14.78013,32.925545,1220
Khartoum,40610,SD01,15.851318,32.843002,Al Hasahisa,SD15034,14.78013,32.925545,4324
Aj Jazirah,65,SD15,14.589485,33.27362,Al Kamlin,SD15035,15.128601,32.940258,4739
Khartoum,40610,SD01,15.851318,32.843002,Al Kamlin,SD15035,15.128601,32.940258,51185
Aj Jazirah,65,SD15,14.589485,33.27362,Al Manaqil,SD15036,14.132764,32.934234,9348
Blue Nile,111,SD08,11.297455,34.127622,Al Manaqil,SD15036,14.132764,32.934234,40
Khartoum,40610,SD01,15.851318,32.843002,Al Manaqil,SD15036,14.132764,32.934234,31835
Sennar,30,SD14,12.907198,34.042836,Al Manaqil,SD15036,14.132764,32.934234,355
White Nile,1232,SD09,13.359391,32.316944,Al Manaqil,SD15036,14.132764,32.934234,2307
Aj Jazirah,65,SD15,14.589485,33.27362,Al Qurashi,SD15037,14.305408,32.63886,6260
Khartoum,40610,SD01,15.851318,32.843002,Al Qurashi,SD15037,14.305408,32.63886,14840
North Kordofan,3910,SD13,14.847728,29.761701,Al Qurashi,SD15037,14.305408,32.63886,285
Sennar,30,SD14,12.907198,34.042836,Al Qurashi,SD15037,14.305408,32.63886,150
South Darfur,2250,SD03,11.00282,24.420469,Al Qurashi,SD15037,14.305408,32.63886,40
White Nile,1232,SD09,13.359391,32.316944,Al Qurashi,SD15037,14.305408,32.63886,111000
Khartoum,40610,SD01,15.851318,32.843002,Janub Al Jazirah,SD15031,14.145362,33.421643,1750
Blue Nile,111,SD08,11.297455,34.127622,Medani Al Kubra,SD15030,14.335648,33.607358,135
Khartoum,111,SD01,15.851318,32.843002,Medani Al Kubra,SD15030,14.335648,33.607358,3300
Aj Jazirah,111,SD15,14.589485,33.27362,Sharg Al Jazirah,SD15033,15.016972,33.602456,580
Khartoum,111,SD01,15.851318,32.843002,Sharg Al Jazirah,SD15033,15.016972,33.602456,175
Aj Jazirah,111,SD15,14.589485,33.27362,Um Algura,SD15032,14.49061,33.907755,2588
Khartoum,111,SD01,15.851318,32.843002,Um Algura,SD15032,14.49061,33.907755,3284
Aj Jazirah,111,SD15,14.589485,33.27362,Al Kurmuk,SD08106,10.526217,34.112256,125
Blue Nile,111,SD08,11.297455,34.127622,Al Kurmuk,SD08106,10.526217,34.112256,21262
Khartoum,111,SD01,15.851318,32.843002,Al Kurmuk,SD08106,10.526217,34.112256,70
Sennar,111,SD14,12.907198,34.042836,Al Kurmuk,SD08106,10.526217,34.112256,2118
Aj Jazirah,111,SD15,14.589485,33.27362,Ar Rusayris,SD08107,12.164843,34.581526,6703
Blue Nile,111,SD08,11.297455,34.127622,Ar Rusayris,SD08107,12.164843,34.581526,18383
Central Darfur,111,SD06,12.402911,23.364413,Ar Rusayris,SD08107,12.164843,34.581526,59
Gedaref,111,SD12,14.152377,35.106167,Ar Rusayris,SD08107,12.164843,34.581526,25
Khartoum,111,SD01,15.851318,32.843002,Ar Rusayris,SD08107,12.164843,34.581526,25722
North Kordofan,111,SD13,14.847728,29.761701,Ar Rusayris,SD08107,12.164843,34.581526,100
River Nile,111,SD16,18.332291,33.463789,Ar Rusayris,SD08107,12.164843,34.581526,55
Sennar,111,SD14,12.907198,34.042836,Ar Rusayris,SD08107,12.164843,34.581526,12513
South Darfur,111,SD03,11.00282,24.420469,Ar Rusayris,SD08107,12.164843,34.581526,105
South Kordofan,111,SD07,11.293547,30.847982,Ar Rusayris,SD08107,12.164843,34.581526,420
West Darfur,111,SD04,13.519303,22.616657,Ar Rusayris,SD08107,12.164843,34.581526,205
White Nile,111,SD09,13.359391,32.316944,Ar Rusayris,SD08107,12.164843,34.581526,165
Aj Jazirah,111,SD15,14.589485,33.27362,At Tadamon - BN,SD08108,11.663392,33.640707,593
Blue Nile,111,SD08,11.297455,34.127622,At Tadamon - BN,SD08108,11.663392,33.640707,16332
Khartoum,111,SD01,15.851318,32.843002,At Tadamon - BN,SD08108,11.663392,33.640707,3580
Sennar,111,SD14,12.907198,34.042836,At Tadamon - BN,SD08108,11.663392,33.640707,785
South Kordofan,111,SD07,11.293547,30.847982,At Tadamon - BN,SD08108,11.663392,33.640707,170
White Nile,111,SD09,13.359391,32.316944,At Tadamon - BN,SD08108,11.663392,33.640707,15
Aj Jazirah,111,SD15,14.589485,33.27362,Baw,SD08104,11.133073,33.800953,3159
Blue Nile,111,SD08,11.297455,34.127622,Baw,SD08104,11.133073,33.800953,85603
Khartoum,111,SD01,15.851318,32.843002,Baw,SD08104,11.133073,33.800953,8231
Sennar,111,SD14,12.907198,34.042836,Baw,SD08104,11.133073,33.800953,2605
South Darfur,111,SD03,11.00282,24.420469,Baw,SD08104,11.133073,33.800953,80
Aj Jazirah,111,SD15,14.589485,33.27362,Ed Damazine,SD08105,12.079783,34.23656,22005
Blue Nile,111,SD08,11.297455,34.127622,Ed Damazine,SD08105,12.079783,34.23656,33264
Khartoum,111,SD01,15.851318,32.843002,Ed Damazine,SD08105,12.079783,34.23656,78286
North Darfur,111,SD02,16.217571,25.556517,Ed Damazine,SD08105,12.079783,34.23656,105
North Kordofan,111,SD13,14.847728,29.761701,Ed Damazine,SD08105,12.079783,34.23656,720
Sennar,111,SD14,12.907198,34.042836,Ed Damazine,SD08105,12.079783,34.23656,25014
South Darfur,111,SD03,11.00282,24.420469,Ed Damazine,SD08105,12.079783,34.23656,475
South Kordofan,111,SD07,11.293547,30.847982,Ed Damazine,SD08105,12.079783,34.23656,270
West Darfur,111,SD04,13.519303,22.616657,Ed Damazine,SD08105,12.079783,34.23656,45
White Nile,111,SD09,13.359391,32.316944,Ed Damazine,SD08105,12.079783,34.23656,160
Aj Jazirah,111,SD15,14.589485,33.27362,Geisan,SD08109,11.175661,34.666003,1895
Blue Nile,111,SD08,11.297455,34.127622,Geisan,SD08109,11.175661,34.666003,42790
Gedaref,111,SD12,14.152377,35.106167,Geisan,SD08109,11.175661,34.666003,110
Khartoum,111,SD01,15.851318,32.843002,Geisan,SD08109,11.175661,34.666003,1660
North Kordofan,111,SD13,14.847728,29.761701,Geisan,SD08109,11.175661,34.666003,50
Sennar,111,SD14,12.907198,34.042836,Geisan,SD08109,11.175661,34.666003,440
South Kordofan,111,SD07,11.293547,30.847982,Geisan,SD08109,11.175661,34.666003,65
White Nile,111,SD09,13.359391,32.316944,Geisan,SD08109,11.175661,34.666003,70
Aj Jazirah,111,SD15,14.589485,33.27362,Wad Al Mahi,SD08110,11.607414,34.782122,60
Blue Nile,111,SD08,11.297455,34.127622,Wad Al Mahi,SD08110,11.607414,34.782122,7615
Khartoum,111,SD01,15.851318,32.843002,Wad Al Mahi,SD08110,11.607414,34.782122,3776
Sennar,111,SD14,12.907198,34.042836,Wad Al Mahi,SD08110,11.607414,34.782122,375
White Nile,111,SD09,13.359391,32.316944,Wad Al Mahi,SD08110,11.607414,34.782122,10
Central Darfur,111,SD06,12.402911,23.364413,Azum,SD06110,12.882062,23.02057,11155
North Darfur,111,SD02,16.217571,25.556517,Azum,SD06110,12.882062,23.02057,145
West Darfur,111,SD04,13.519303,22.616657,Azum,SD06110,12.882062,23.02057,58800
Central Darfur,111,SD06,12.402911,23.364413,Bendasi,SD06112,12.045643,22.850442,32090
